"","country","Community Type","Treats water with acceptable method","Boil","Bleach","Filter","SolarDisinfection","Strain","More than 30 minutes","SurveyYear","Piped onto premises","Female Under 15","Mean Household Size","Female Over 15","Female Any Age","Type","LetStand","Any_water_treatment","Multiple_water_treatment"
"44","Chad","Total",6.36946901182191,0.555881272132064,5.49849885385108,0.0987648441319493,0.481012644939946,1.86053850039722,NA,2019,4.44392140175284,NA,NA,NA,NA,"MICS",2.72888223381893,9.71624595900438,0.577313950363516
"45","Comoros","Urban",24.5813441927178,23.9372519521645,2.27973098869767,0.301360151025601,0.0564734831026113,0.790986001356342,NA,2022,49.5971943903048,NA,NA,NA,NA,"MICS",5.16164877095728,26.7341221690321,2.37944361940208
"46","Comoros","Rural",18.7507995884961,18.6068783672145,0.557734257786636,0.0445980831032403,0,0.0964641525182751,NA,2022,33.4665105735466,NA,NA,NA,NA,"MICS",6.37067163975982,22.3569780840903,0.458411119608269
"47","Comoros","Total",20.7508246531473,20.4353320533651,1.14842292528701,0.132674001624561,0.0193718407730881,0.33470280772351,NA,2022,38.9997453111935,NA,NA,NA,NA,"MICS",5.95594605141758,23.8575480937582,1.11737411713254
"48","Congo","Urban",4.8209196270179,0.457013606858466,3.79908228080278,0.595917208845802,0,0.184849054056039,NA,2018,28.7239736215144,NA,NA,NA,NA,"MICS",0.219696912714075,11.7482236896026,0.093803082310102
"49","Congo","Rural",0.703063500704093,0.0915618208774659,0.577760396634234,0.0333254906104048,0.000415792581990862,0.0136127432553157,NA,2018,0.12769578559301,NA,NA,NA,NA,"MICS",0.0676306499515881,1.75182708828594,0.00268199203441344
"50","Congo","Total",2.40191813235185,0.242331891567995,1.90674262308392,0.265427224360496,0.000244254011421061,0.0842576591500562,NA,2018,11.9253199762491,NA,NA,NA,NA,"MICS",0.130366808497921,5.87594122049888,0.040274729980365
"51","Cote d'Ivoire","Total",8.5,0.5,7.4,0.8,0,2,4.3,2021,36.3,5.2,4.4,79,84.2,"DHS",NA,NA,NA
"52","Cote d'Ivoire","Total",8.5,0.5,7.4,0.8,0,2,4.3,2021,36.3,5.2,4.4,79,84.2,"DHS",NA,NA,NA
"53","Cuba","Urban",53.9752543784395,32.1063852338907,25.4435395278556,9.68869580233882,0.0265110336349479,5.66426294104006,NA,2019,84.757145803758,NA,NA,NA,NA,"MICS",2.966081987994,55.2175486249011,16.1681588034281
"54","Cuba","Rural",31.9351757244515,14.9573459505156,19.6217823973414,3.9448332035251,0,1.39760547908852,NA,2019,51.3661727454988,NA,NA,NA,NA,"MICS",1.39031273685494,32.5939587412369,6.90525380370583
"55","Cuba","Total",45.6009819320058,25.5904952768649,23.2315247209541,7.50627753367065,0.0164379925183068,4.0431184531765,NA,2019,72.070026577403,NA,NA,NA,NA,"MICS",2.36735812548348,46.6248874246543,12.6486572929799
"56","Djibouti","Urban",66.4651886690856,0.932511312810441,1.16123115763646,0.0283124076704512,NA,0.100429214249263,NA,2006,76.6373862989652,0.0297656065738701,NA,0.70708225017686,0.73684785675073,"MICS",0.523917782789597,2.89576521276888,0.0990027577697327
"57","Djibouti","Rural",0.21002237410036,0.00650446067375796,0,0,NA,0.126770812235575,NA,2006,0.419375126971461,0,NA,0.410662659383526,0.410662659383526,"MICS",0.159357788272846,0.21504903289374,0
"58","Djibouti","Total",66.675211043186,0.939015773484198,1.16123115763646,0.0283124076704512,NA,0.227200026484838,NA,2006,77.0567614259366,0.0141922562182924,NA,0.551995669689232,0.566187925907525,"MICS",0.683275571062442,3.11081424566261,0.0990027577697326
"59","Dominican Republic","Urban",NA,NA,NA,NA,NA,NA,NA,2019,NA,NA,NA,NA,NA,"MICS",NA,NA,NA
"60","Dominican Republic","Rural",NA,NA,NA,NA,NA,NA,NA,2019,NA,NA,NA,NA,NA,"MICS",NA,NA,NA
"61","Dominican Republic","Total",NA,NA,NA,NA,NA,NA,NA,2019,NA,NA,NA,NA,NA,"MICS",NA,NA,NA
"62","Egypt","Total",10.6,0.6,0,10,0,0.3,0.6,2014,91,NA,4.1,NA,NA,"DHS",NA,NA,NA
"63","Egypt","Total",10.6,0.6,0,10,0,0.3,0.6,2014,91,NA,4.1,NA,NA,"DHS",NA,NA,NA
"64","Egypt","Urban",12.4006743236366,0.544535187985397,0.0454239913688229,11.8107151442824,NA,0.12040857419267,NA,2014,96.009374553458,0,NA,43.7525748288838,43.7525748288838,"MICS",8.43720597263116,20.8456813305671,NA
"65","Egypt","Rural",3.48841694248063,0.639673418984146,0.077413910452484,2.771329613044,NA,0.218135308751537,NA,2014,95.6052390797257,3.60946922621385,NA,82.1815603636844,85.7910295898982,"MICS",9.92020511460578,13.4682079556761,NA
"66","Egypt","Other",13.7916121687777,0.321632687511564,0,13.4699794812661,NA,0.39994589554648,NA,2014,72.9522937211455,3.52048394462963,NA,64.2056359376148,67.7261198822444,"MICS",6.34362899668344,20.3090571232647,NA
"67","Egypt","Total",6.25292468106227,0.577279871353366,0.06110083457559,5.61454397513332,NA,0.234412056488043,NA,2014,92.0765149919838,3.38964247043402,NA,67.5447119458579,70.9343544162919,"MICS",9.16588690193529,15.4898498519384,NA
"68","El Salvador","Urban",24.4218437949058,12.8852305170479,6.60292412973704,5.04064124221952,1.101552116886,0.748841295930787,NA,2014,60.6743373539564,1.92962992801473,NA,47.0116482921315,48.9412782201463,"MICS",1.330514045554,26.4464278332571,1.34073176708606
"69","El Salvador","Rural",25.5536773860863,8.81066573137377,13.8132983425625,2.86757305574952,1.80633393983325,2.52155042138773,NA,2014,51.8505087252941,3.08347957368869,NA,50.9728445338674,54.0563241075561,"MICS",2.02926448656062,29.4440128007396,2.20258355012751
"70","El Salvador","Total",24.8339087453532,11.40180985381,9.22799420705861,4.24949558127228,1.35814097342108,1.39422883667099,NA,2014,57.4618593581106,2.75852813905529,NA,49.8572776951181,52.6158058341734,"MICS",1.58490706595215,27.5377540765429,1.65450484736863
"71","Eswatini","Urban",12.6599291142592,4.02236004268861,8.23521755412114,1.54609424509195,NA,0.0668452360137693,NA,2022,87.9766057497657,NA,NA,NA,NA,"MICS",0.0941287198384194,12.9853126571531,1.21058796365623
"72","Eswatini","Rural",14.7129913743537,4.49590317455577,10.6841495732994,0.23544570581911,NA,0.102769671128576,NA,2022,39.447004471581,NA,NA,NA,NA,"MICS",0.263864892468373,15.2949234219728,0.724575151945476
"73","Eswatini","Total",13.9289833576794,4.31507007521864,9.74896978228925,0.735946339338592,NA,0.0890511173019589,NA,2022,57.9791246062856,NA,NA,NA,NA,"MICS",0.199047315988563,14.4133837765117,0.91017007909106
"74","Fiji","Urban",70.5241728775665,68.3982064618862,0.159916763345758,4.69809421854777,0.0867672922539113,0.722556952819964,NA,2021,97.7719463559284,NA,NA,NA,NA,"MICS",5.00172526287013,73.2438527049548,3.48221187134666
"75","Fiji","Rural",64.1102658734333,60.5023658541563,1.34146297723721,5.59012130437791,0.0414692038940488,3.20503036567671,NA,2021,82.0807419766883,NA,NA,NA,NA,"MICS",9.71641499505021,69.4005905663368,5.34317830046233
"76","Fiji","Total",67.8452294983492,65.1002930518847,0.653421799340776,5.07067368596548,0.0678473088764407,1.75942975268583,NA,2021,91.2180864298929,NA,NA,NA,NA,"MICS",6.97094415471671,71.6389689740168,4.2594953104442
"77","Gabon","Total",17.5,3.7,1.5,13.2,0.1,3.1,6.1,2019,56.3,NA,3.9,NA,NA,"DHS",NA,NA,NA
"78","Gabon","Total",17.5,3.7,1.5,13.2,0.1,3.1,6.1,2019,56.3,NA,3.9,NA,NA,"DHS",NA,NA,NA
"79","Gambia","Total",5.7,0.5,4.6,0.6,0.1,10,2.6,2019,49,NA,8.1,NA,NA,"DHS",NA,NA,NA
"80","Gambia","Total",5.7,0.5,4.6,0.6,0.1,10,2.6,2019,49,NA,8.1,NA,NA,"DHS",NA,NA,NA
